grid_id,lat,lon
177800,22.55852776,114.2309214
177801,22.5586114,114.235779
177802,22.5586949,114.2406365
178564,22.55700705,113.9005623
178565,22.55710066,113.9054184
178566,22.55719413,113.9102744
178593,22.55966246,114.0413985
178594,22.55975183,114.0462553
178596,22.55993013,114.055969
178600,22.56028498,114.0753966
178604,22.56063748,114.0948246
178605,22.56072524,114.0996816
178606,22.56081286,114.1045387
178607,22.56090033,114.1093958
178610,22.56116185,114.1239673
178611,22.56124873,114.1288245
178612,22.56133547,114.1336817
178614,22.5615085,114.1433963
178635,22.56328997,114.2454045
179389,22.56085784,113.8664686
179395,22.5614236,113.8956052
179396,22.56151738,113.9004614
179397,22.56161102,113.9053176
179398,22.5617045,113.9101739
179400,22.56189104,113.9198865
179402,22.56207699,113.9295991
179412,22.56299798,113.9781641
179430,22.56461887,114.0655872
179437,22.5652364,114.0995872
179438,22.56532404,114.1044445
179439,22.56541152,114.1093017
179441,22.56558606,114.1190163
179466,22.56771831,114.2404569
179467,22.5678017,114.2453148
179468,22.56788494,114.2501727
180224,22.56565162,113.8809352
180225,22.56574587,113.8857915
180231,22.56630824,113.9149297
180232,22.56640145,113.9197862
180239,22.56704987,113.9537821
180244,22.56750864,113.9780657
180257,22.5686843,114.0412058
180259,22.56886297,114.0509201
180260,22.56895209,114.0557772
180273,22.57009729,114.1189225
180274,22.57018435,114.12378
180276,22.57035805,114.1334951
181053,22.5698782,113.8662645
181055,22.57006746,113.8759773
181056,22.57016187,113.8808337
181057,22.57025613,113.8856901
181058,22.57035025,113.8905466
181059,22.57044421,113.8954031
181061,22.57063171,113.9051161
181063,22.57081863,113.9148293
181064,22.57091186,113.9196859
181066,22.5710979,113.9293992
181090,22.57328464,114.0459668
181091,22.57337392,114.050824
181092,22.57346306,114.0556814
181107,22.57478254,114.128544
181883,22.5741985,113.8564495
181884,22.57429351,113.861306
181885,22.57438838,113.8661624
181886,22.5744831,113.871019
181887,22.57457768,113.8758755
181888,22.57467211,113.8807321
181890,22.57486053,113.8904453
181895,22.57532901,113.9147288
181896,22.57542227,113.9195855
181936,22.57903249,114.113877
181937,22.57911974,114.1187348
182716,22.57880367,113.8612037
182718,22.5789933,113.870917
182723,22.57946482,113.8952008
182726,22.57974597,113.9097714
182727,22.5798394,113.9146283
182728,22.57993268,113.9194852
183549,22.58340873,113.8659582
183550,22.58350349,113.8708151
183556,22.584069,113.8999566
183558,22.58425633,113.9096707
183561,22.58453623,113.9242419
183567,22.58509207,113.9533852
183569,22.58527618,113.9630998
183627,22.59036028,114.244866
183628,22.59044361,114.2497247
183631,22.59069272,114.264301
184382,22.58801368,113.8707131
184383,22.58810832,113.8755701
184384,22.58820281,113.8804272
184385,22.58829716,113.8852842
184386,22.58839136,113.8901413
184389,22.58867308,113.9047127
184390,22.58876669,113.9095699
184399,22.58960261,113.9532859
184459,22.59487198,114.2447761
184460,22.59495533,114.249635
184462,22.59512159,114.2593529
185214,22.59252387,113.8706111
185217,22.59280741,113.8851827
185219,22.5929957,113.8948972
185220,22.59308963,113.8997545
185231,22.59411315,113.9531865
186073,22.59953897,114.001666
186074,22.59962969,114.006524
186909,22.60441179,114.021001
186912,22.60468182,114.0355759
186915,22.60495053,114.050151
186916,22.6050398,114.0550094
186930,22.60627425,114.1230299
187744,22.60919269,114.0354792
187748,22.60955075,114.0549134
187761,22.61069824,114.1180771
187762,22.61078548,114.122936
188539,22.61027948,113.8556295
188577,22.61379332,114.0402411
188594,22.6152967,114.1228421
188595,22.61538381,114.1277012
189372,22.61488479,113.8603848
189414,22.61875087,114.064439
189415,22.61883977,114.0692979
189428,22.61998203,114.1324667
189429,22.62006887,114.137326
190243,22.62299423,114.0497659
190244,22.62308359,114.054625
191072,22.62723615,114.0350921
